name,brand,manufacturer,batch_number,manufacturing_date,expiry_date,active_ingredient,category,dosage,license_number,status,description,country
Paracetamol,Dolo 650,Micro Labs Ltd,MCR-DOL650-2024-001,2024-01-01,2026-01-01,Paracetamol 650mg,Analgesic,650mg,LIC-MCR-001,verified,Widely used fever reducer and pain reliever in India,India
Paracetamol,Crocin 500,GlaxoSmithKline,GSK-CRO-2024-001,2024-01-01,2026-01-01,Paracetamol 500mg,Analgesic,500mg,LIC-GSK-001,verified,Common pain relief and fever tablet,India
Paracetamol,Calpol 500,GlaxoSmithKline,GSK-CAL-2024-001,2024-01-01,2026-01-01,Paracetamol 500mg,Analgesic,500mg,LIC-GSK-002,verified,Paracetamol tablet for fever and mild pain,India
Ibuprofen + Paracetamol,Combiflam,Sanofi India,SNF-CMB-2024-001,2024-02-01,2026-02-01,Ibuprofen 400mg + Paracetamol 325mg,NSAID,400mg+325mg,LIC-SNF-001,verified,Combination tablet for pain and fever relief,India
Aspirin,Ecosprin 75,USV Pvt Ltd,USV-ECS75-2024-001,2024-01-01,2026-01-01,Aspirin 75mg,Antiplatelet,75mg,LIC-USV-001,verified,Low dose aspirin for heart attack and stroke prevention,India
Aspirin,Disprin,Reckitt Benckiser,RKT-DSP-2024-001,2024-01-01,2026-01-01,Aspirin 350mg,Analgesic,350mg,LIC-RKT-001,verified,Soluble aspirin for pain and fever,India
Rabeprazole,Peptard 20,Torrent Pharmaceuticals,TOR-PEP20-2024-001,2024-03-01,2026-03-01,Rabeprazole Sodium 20mg,Antacid,20mg,LIC-TOR-001,verified,Proton pump inhibitor for acid reflux and GERD,India
Pantoprazole,Pan 40,Alkem Laboratories,ALK-PAN40-2024-001,2024-01-01,2026-01-01,Pantoprazole 40mg,Antacid,40mg,LIC-ALK-001,verified,Proton pump inhibitor for GERD and stomach ulcers,India
Pantoprazole,Pantocid 40,Sun Pharmaceutical,SUN-PTC40-2024-001,2024-01-01,2026-01-01,Pantoprazole 40mg,Antacid,40mg,LIC-SUN-001,verified,Used for acidity gastroesophageal reflux disease,India
Omeprazole,Omez 20,Dr Reddys Laboratories,DRL-OMZ20-2024-001,2024-02-01,2026-02-01,Omeprazole 20mg,Antacid,20mg,LIC-DRL-001,verified,Proton pump inhibitor for acid reflux and peptic ulcers,India
